Tanggal ,Total Penjualan
18/09/2024,100
19/09/2024,0
20/09/2024,108
21/09/2024,42
22/09/2024,70
23/09/2024,77
24/09/2024,23
25/09/2024,60
26/09/2024,40
27/09/2024,40
28/09/2024,60
29/09/2024,0
30/09/2024,88
01/10/2024,12
02/10/2024,120
03/10/2024,0
04/10/2024,120
05/10/2024,0
06/10/2024,0
07/10/2024,70
08/10/2024,40
09/10/2024,73
10/10/2024,47
11/10/2024,90
12/10/2024,30
13/10/2024,0
14/10/2024,101
15/10/2024,9
16/10/2024,104
17/10/2024,26
18/10/2024,86
19/10/2024,24
20/10/2024,0
21/10/2024,100
22/10/2024,0
23/10/2024,85
24/10/2024,34
25/10/2024,51
26/10/2024,79
27/10/2024,0
28/10/2024,102
29/10/2024,14
30/10/2024,105
31/10/2024,0
01/11/2024,0
02/11/2024,0
03/11/2024,0
04/11/2024,100
05/11/2024,0
06/11/2024,90
07/11/2024,30
08/11/2024,82
09/11/2024,38
10/11/2024,0
11/11/2024,100
12/11/2024,0
13/11/2024,100
14/11/2024,0
15/11/2024,100
16/11/2024,0
17/11/2024,0
18/11/2024,41
19/11/2024,59
20/11/2024,80
21/11/2024,20
22/11/2024,60
23/11/2024,40
24/11/2024,0
25/11/2024,50
26/11/2024,50
27/11/2024,100
28/11/2024,0
29/11/2024,120
30/11/2024,0
01/12/2024,0
02/12/2024,72
03/12/2024,28
04/12/2024,80
05/12/2024,20
06/12/2024,11
07/12/2024,0
08/12/2024,89
09/12/2024,55
10/12/2024,41
11/12/2024,15
12/12/2024,81
13/12/2024,101
14/12/2024,7
15/12/2024,0
16/12/2024,2
17/12/2024,46
18/12/2024,52
19/12/2024,50
20/12/2024,63
21/12/2024,0
22/12/2024,37
23/12/2024,51
24/12/2024,49
25/12/2024,0
26/12/2024,0
27/12/2024,100
28/12/2024,0
29/12/2024,0
30/12/2024,90
31/12/2024,30
01/01/2025,0
02/01/2025,0
03/01/2025,40
04/01/2025,60
05/01/2025,0
06/01/2025,69
07/01/2025,31
08/01/2025,100
09/01/2025,0
10/01/2025,79
11/01/2025,11
12/01/2025,0
13/01/2025,76
14/01/2025,24
15/01/2025,69
16/01/2025,31
17/01/2025,58
18/01/2025,32
19/01/2025,0
20/01/2025,100
21/01/2025,0
22/01/2025,71
23/01/2025,19
24/01/2025,68
25/01/2025,32
26/01/2025,20
27/01/2025,80
28/01/2025,0
29/01/2025,80
30/01/2025,0
31/01/2025,90
01/02/2025,0
02/02/2025,0
03/02/2025,26
04/02/2025,74
05/02/2025,27
06/02/2025,73
07/02/2025,0
08/02/2025,100
09/02/2025,0
10/02/2025,0
11/02/2025,100
12/02/2025,59
13/02/2025,41
14/02/2025,100
15/02/2025,0
16/02/2025,0
17/02/2025,57
18/02/2025,43
19/02/2025,55
20/02/2025,45
21/02/2025,31
22/02/2025,55
23/02/2025,14
24/02/2025,51
25/02/2025,49
26/02/2025,80
27/02/2025,20
28/02/2025,100
01/03/2025,0
02/03/2025,0
03/03/2025,75
04/03/2025,25
05/03/2025,80
06/03/2025,0
07/03/2025,70
08/03/2025,30
09/03/2025,0
10/03/2025,100
11/03/2025,0
12/03/2025,78
13/03/2025,22
14/03/2025,50
15/03/2025,35
16/03/2025,15
17/03/2025,27
18/03/2025,73
19/03/2025,80
20/03/2025,20
21/03/2025,40
22/03/2025,34
23/03/2025,26
24/03/2025,57
25/03/2025,43
26/03/2025,50
27/03/2025,50
28/03/2025,100
29/03/2025,0
30/03/2025,0
31/03/2025,0
01/04/2025,100
02/04/2025,0
03/04/2025,100
04/04/2025,0
05/04/2025,0
06/04/2025,83
07/04/2025,17
08/04/2025,80
09/04/2025,20
10/04/2025,70
11/04/2025,50
12/04/2025,0
13/04/2025,70
14/04/2025,30
15/04/2025,31
16/04/2025,69
17/04/2025,0
18/04/2025,80
19/04/2025,20
20/04/2025,40
21/04/2025,60
22/04/2025,50
23/04/2025,50
24/04/2025,60
25/04/2025,40
26/04/2025,0
27/04/2025,100
28/04/2025,0
29/04/2025,100
30/04/2025,0
01/05/2025,0
02/05/2025,100
03/05/2025,0
04/05/2025,0
05/05/2025,39
06/05/2025,61
07/05/2025,50
08/05/2025,50
09/05/2025,69
10/05/2025,31
11/05/2025,0
12/05/2025,70
13/05/2025,30
14/05/2025,85
15/05/2025,30
16/05/2025,0
17/05/2025,100
18/05/2025,0
19/05/2025,64
20/05/2025,36
21/05/2025,61
22/05/2025,54
23/05/2025,42
24/05/2025,38
25/05/2025,0
26/05/2025,50
27/05/2025,50
28/05/2025,59
29/05/2025,41
30/05/2025,40
31/05/2025,60
01/06/2025,64
02/06/2025,36
03/06/2025,60
04/06/2025,40
05/06/2025,0
06/06/2025,100
07/06/2025,0
08/06/2025,100
09/06/2025,0
10/06/2025,60
11/06/2025,60
12/06/2025,80
13/06/2025,40
14/06/2025,0
15/06/2025,40
16/06/2025,60
17/06/2025,68
18/06/2025,32
19/06/2025,96
20/06/2025,24
21/06/2025,0
